mutation_id,seed_id,family,order,source_seed_path,mutant_path,mutation_category,mutation_subtype,operator_id,operator_origin,quantum_specific,equivalent_candidate,bug_description,testing_relevance,expected_effect,difficulty,likely_killable_by,primary_site,secondary_sites
BELL_M001,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m001.py,A_gate_level_quantum_bugs,single_qubit_gate_replacement,QGR_H_TO_X,quantum-specific,True,False,Replace the Hadamard on qubit 0 with X.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,bell_h,
BELL_M002,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m002.py,A_gate_level_quantum_bugs,single_qubit_gate_replacement,QGR_H_TO_Y,quantum-specific,True,False,Replace the Hadamard on qubit 0 with Y.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,bell_h,
BELL_M003,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m003.py,A_gate_level_quantum_bugs,single_qubit_gate_replacement,QGR_H_TO_Z,quantum-specific,True,False,Replace the Hadamard on qubit 0 with Z.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,bell_h,
BELL_M004,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m004.py,A_gate_level_quantum_bugs,gate_deletion,QGD_DELETE_H,quantum-specific,True,False,Delete the Hadamard on qubit 0.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,bell_h,
BELL_M005,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m005.py,A_gate_level_quantum_bugs,extra_gate_insertion,QGI_DUPLICATE_H,quantum-specific,True,True,Apply two Hadamards in sequence on qubit 0.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",no visible effect / equivalent mutant candidate,medium,unit tests|statistical output tests|equivalence checks,bell_h,
BELL_M006,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m006.py,A_gate_level_quantum_bugs,extra_gate_insertion,QGI_H_PLUS_Z,quantum-specific,True,False,Insert an extra Z gate immediately after the Hadamard on qubit 0.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,bell_h,
BELL_M007,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m007.py,A_gate_level_quantum_bugs,wrong_qubit,QQI_WRONG_H_QUBIT,quantum-specific,True,False,Move the Hadamard from qubit 0 to qubit 1.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,bell_h,
BELL_M008,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m008.py,A_gate_level_quantum_bugs,controlled_gate_replacement,QCR_SWAP_CZ,quantum-specific,True,False,Replace CX with CZ.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,bell_cx,
BELL_M009,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m009.py,A_gate_level_quantum_bugs,controlled_gate_replacement,QCR_SWAP_CY,quantum-specific,True,False,Replace CX with CY.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,bell_cx,
BELL_M010,bell,bell,first_order,C:/Quantum-Bugs/quantum_mutation_dataset/seeds/bell.py,C:/Quantum-Bugs/quantum_mutation_dataset/mutants/bell/bell_m010.py,A_gate_level_quantum_bugs,missing_control,QCR_DELETE_CONTROL,quantum-specific,True,False,Drop the control and apply X directly to target 1.,"Quantum state evolution is path dependent, so a small gate mutation can silently change amplitudes or entanglement.",silent semantic failure,medium,unit tests|statistical output tests|equivalence checks,bell_cx,
